Name;Platform;Year_of_Release;Genre;Publisher;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating
Frontlines: Fuel of War;PC;2008;Shooter;THQ;0.02;73;19;6.9;171;Kaos Studios;T
Lara Croft and the Temple of Osiris;PC;2014;Action;Square Enix;0.02;73;17;5.4;52;Nixxes Software;T
Blood Bowl: Legendary Edition;PC;2010;Sports;Focus Home Interactive;0.02;73;13;6.4;75;Cyanide;T
Medal of Honor;PC;2010;Shooter;Electronic Arts;0.49;72;26;6.4;516;Dice, Danger Close;M
Anno 2205;PC;2015;Strategy;Ubisoft;0.25;72;45;5.9;278;Blue Byte;E10+
DC Universe Online;PC;2011;Role-Playing;Sony Online Entertainment;0.23;72;27;6.8;243;WBIE;T
The Sims 4: Get Together;PC;2015;Simulation;Electronic Arts;0.22;72;16;7.3;117;Maxis;T
Star Wars: Battlefront;PC;2004;Shooter;LucasArts;0.21;72;19;3.5;1509;EA DICE;T
Test Drive Unlimited 2;PC;N/A;Racing;Atari;0.19;72;19;5.7;253;Eden;T
Dungeon Siege III;PC;2011;Role-Playing;Square Enix;0.17;72;37;4.7;399;Obsidian Entertainment;T
Halo 2;PC;2007;Shooter;Microsoft Game Studios;0.09;72;32;5.6;216;Microsoft Game Studios;M
Gray Matter;PC;2011;Adventure;DTP Entertainment;0.08;72;27;7.7;80;Wizarbox;T
Serious Sam 3: BFE;PC;2011;Shooter;Mastertronic;0.08;72;53;8.2;586;Croteam;
Divinity II: Ego Draconis;PC;2009;Role-Playing;DTP Entertainment;0.07;72;43;7.7;125;Larian Studios;M
Zoo Tycoon 2;PC;2004;Strategy;Microsoft Game Studios;0.06;72;34;8.1;43;Blue Fang Games;E
FIFA Soccer 10;PC;2009;Sports;Electronic Arts;0.05;72;14;3.8;59;EA Sports;E
FIFA Manager 12;PC;2011;Sports;Electronic Arts;0.05;72;11;3.9;24;Bright Future GmbH;E
Blood Bowl;PC;2009;Sports;Focus Home Interactive;0.04;72;34;6.5;57;Cyanide;T
LEGO Jurassic World;PC;2015;Action;Warner Bros. Interactive Entertainment;0.04;72;8;7.1;31;TT Games;E10+
Saints Row 2;PC;2009;Action;THQ;0.04;72;24;6.8;380;Volition Inc., CD Projekt Red Studio, CD Projekt, CD Projekt Localisation Centre;M
Section 8;PC;2009;Shooter;SouthPeak Games;0.03;72;31;7;78;TimeGate Studios;T
Alpha Protocol;PC;2010;Role-Playing;Sega;0.03;72;25;7.5;511;Obsidian Entertainment;M
The Inner World;PC;2013;Adventure;Headup Games;0.03;72;18;8.1;48;Headup Games;
Bully: Scholarship Edition;PC;2008;Action;Take-Two Interactive;0.03;72;11;7.5;257;Mad Doc Software, Rockstar Vancouver;T
Divinity II: Flames of Vengeance;PC;2010;Role-Playing;DTP Entertainment;0.03;72;4;8.3;15;Larian Studios;M
Jurassic Park: Operation Genesis;PC;2003;Simulation;Vivendi Games;0.02;72;15;8.7;55;Blue Tongue Entertainment;T
Ridge Racer Unbounded;PC;2012;Racing;Namco Bandai Games;0.02;72;9;6;83;Bugbear;T
Commandos 3: Destination Berlin;PC;2003;Strategy;Eidos Interactive;0.02;72;24;7.6;83;Pyro Studios;T
Dungeons - The Dark Lord;PC;2011;Strategy;Kalypso Media;0.02;72;6;5.6;16;Kalypso;M
Majesty 2: The Fantasy Kingdom Sim;PC;2009;Simulation;Paradox Interactive;0.02;72;31;7.3;129;1C, Ino-Co, 1C Company;T
Valentino Rossi: The Game;PC;2016;Racing;Namco Bandai Games;0.01;72;4;6.2;14;Milestone, Milestone S.r.l;E
Call of Juarez;PC;2006;Shooter;Ubisoft;0.01;72;25;7.8;223;Techland;M
Impossible Creatures;PC;2002;Strategy;Microsoft Game Studios;0.01;72;30;8;39;Relic;T
Rail Simulator;PC;2007;Simulation;Electronic Arts;0.01;72;13;6.9;24;Kuju Entertainment;E
Cities: Skylines Snowfall;PC;2016;Simulation;Paradox Development;0.01;72;16;7.1;20;Colossal Order;
The Elder Scrolls Online;PC;2014;Role-Playing;Bethesda Softworks;0.9;71;64;5.7;2421;ZeniMax Media;M
Tom Clancy's Ghost Recon: Future Soldier;PC;2012;Shooter;Ubisoft;0.17;71;13;4.9;368;Ubisoft Paris;M
The Crew;PC;2014;Racing;Ubisoft;0.16;71;12;6.4;463;Ubisoft Reflections, Ivory Tower;T
Battlefield: Hardline;PC;2015;Shooter;Electronic Arts;0.14;71;31;3.8;773;Visceral Games;M
Sacred 2: Fallen Angel;PC;2008;Role-Playing;Ascaron Entertainment GmbH;0.06;71;41;6.9;203;Ascaron Entertainment GmbH, Ascaron Entertainment;M
DarkStar One;PC;2006;Simulation;Ubisoft;0.03;71;33;7.2;54;Ascaron Entertainment GmbH;T
ParaWorld;PC;2006;Strategy;Deep Silver;0.02;71;29;8.3;23;SEK Ost;T
Kung Fu Panda;PC;2008;Action;Activision;0.02;71;11;7.8;12;Beenox;E10+
Elven Legacy;PC;2009;Strategy;Paradox Interactive;0.02;71;27;7.1;38;1C:Ino-Co;T
Post Mortem;PC;2003;Adventure;Microids;0.02;71;25;8;28;Microids;M
Battle Worlds: Kronos;PC;2016;Strategy;Nordic Games;0.01;71;15;7.1;71;KING Art;
TimeShift;PC;2007;Shooter;Vivendi Games;0.01;71;30;7.6;124;Saber Interactive;M
Act of Aggression;PC;2015;Strategy;Focus Home Interactive;0.01;71;37;7.1;93;Eugen Systems;
The Sims 4;PC;2014;Simulation;Electronic Arts;3.05;70;74;3.9;2057;Maxis;T
The Sims 3: Generations;PC;2011;Simulation;Electronic Arts;0.63;70;22;3.6;81;The Sims Studio;T
Assassin's Creed: Unity;PC;2014;Action;Ubisoft;0.55;70;10;3;1463;Ubisoft, Ubisoft Montreal;M
Homefront;PC;2011;Shooter;THQ;0.24;70;36;5.5;531;Digital Extremes;M
Brink;PC;2011;Shooter;Bethesda Softworks;0.18;70;38;6;547;Splash Damage;T
Batman: Arkham Knight;PC;2015;Action;Warner Bros. Interactive Entertainment;0.13;70;14;2.5;1967;Rocksteady Studios, Iron Galaxy Studios;M
The Whispered World;PC;2009;Adventure;Deep Silver;0.1;70;41;7.6;77;Daedalic Entertainment;E
Age of Empires Online;PC;2011;Strategy;Microsoft Game Studios;0.06;70;44;5.6;186;Gas Powered Games;E10+
Cities in Motion;PC;2011;Simulation;Paradox Interactive;0.05;70;20;7.7;105;Colossal Order;E
Tom Clancy's HAWX;PC;2009;Action;Ubisoft;0.04;70;23;7.3;125;Ubisoft Romania;T
Need for Speed: ProStreet;PC;2007;Racing;Electronic Arts;0.04;70;18;5.9;163;EA Games;E10+
Company of Heroes: Tales of Valor;PC;2009;Strategy;THQ;0.04;70;42;7.2;204;Relic;M
Transport Fever;PC;2016;Simulation;Astragon;0.04;70;11;7;28;Urban Games;
Take On Helicopters;PC;2011;Simulation;Unknown;0.03;70;10;6.7;28;Bohemia Interactive;T
007: Quantum of Solace;PC;2008;Action;Activision;0.03;70;18;6.3;55;Treyarch;T
MySims;PC;2008;Simulation;Electronic Arts;0.03;70;12;6.4;8;EA Redwood Shores;E
Cities XL 2011;PC;2010;Simulation;Focus Home Interactive;0.02;70;17;5.7;39;Monte Cristo Multimedia;E
Hellgate: London;PC;2007;Role-Playing;Electronic Arts;0.02;70;40;6.3;374;Flagship Studios;M
Achtung Panzer: Kharkov 1943;PC;2010;Strategy;Mamba Games;0.02;70;6;8.3;20;Paradox Interactive;
Sengoku;PC;2011;Strategy;Paradox Interactive;0.01;70;13;6.8;86;Paradox Development Studio;T
Legacy of Kain: Defiance;PC;2003;Action;Eidos Interactive;0.01;70;11;8.7;67;Nixxes Software;M
Need for Speed: The Run;PC;2011;Action;Electronic Arts;0.36;69;18;5.8;338;Black Box;T
Risen 2: Dark Waters;PC;2012;Role-Playing;Deep Silver;0.22;69;51;5.6;751;Piranha Bytes;M
EVE Online;PC;2003;Role-Playing;CCP;0.2;69;22;7.5;280;CCP;T
Battleborn;PC;2016;Shooter;Take-Two Interactive;0.08;69;34;6.9;400;Gearbox Software;T
Resident Evil 6;PC;2012;Shooter;Capcom;0.04;69;18;5.9;868;Capcom, QLOC;M
Imperial Glory;PC;2005;Strategy;Eidos Interactive;0.04;69;28;8.4;73;Pyro Studios;T
Jack Keane;PC;2008;Adventure;Kalypso Media;0.03;69;25;7;21;Legacy Interactive;T
Battle vs. Chess;PC;N/A;Misc;TopWare Interactive;0.03;69;5;5.9;12;Targem Games;T
Order of War;PC;2009;Strategy;Square Enix;0.02;69;39;7.3;73;Wargaming.net;T
Pro Evolution Soccer 2017;PC;2016;Sports;Konami Digital Entertainment;0.02;69;9;3.7;137;Konami;E
Combat Flight Simulator 3: Battle for Europe;PC;2002;Simulation;Microsoft Game Studios;0.02;69;16;6.5;22;Microsoft Game Studios;E
The Evil Within;PC;2014;Action;Bethesda Softworks;0.27;68;18;5.9;721;Tango Gameworks;M
Aliens vs Predator;PC;2010;Shooter;Sega;0.19;68;35;7.4;985;Rebellion;M
The LEGO Movie Videogame;PC;2014;Action;Warner Bros. Interactive Entertainment;0.06;68;7;6.8;33;TT Games;E10+
LEGO The Hobbit;PC;2014;Action;Warner Bros. Interactive Entertainment;0.05;68;6;;;TT Games;E10+
Men of War: Vietnam;PC;2011;Strategy;Unknown;0.04;68;19;4.9;35;Best Way;T
Commander: Conquest of the Americas;PC;2010;Strategy;Paradox Interactive;0.03;68;16;5.2;19;Nitro Games;T
Ride;PC;2015;Racing;Milestone S.r.l.;0.03;68;8;4.8;30;Milestone S.r.l;E
Tom Clancy's EndWar;PC;2009;Strategy;Ubisoft;0.02;68;24;6.7;42;Ubisoft Shanghai;T
Operation Flashpoint: Red River;PC;2011;Shooter;Codemasters;0.07;67;25;4.9;103;Codemasters;M
Harry Potter and the Prisoner of Azkaban;PC;2004;Action;Electronic Arts;0.04;67;19;7.2;50;KnowWonder;E
Codename: Panzers Cold War;PC;2009;Strategy;Atari;0.03;67;28;5.8;8;Stormregion;T
Ice Age: Dawn of the Dinosaurs;PC;2009;Action;Activision;0.02;67;5;tbd;;Activision;E10+
Fuel;PC;2009;Racing;Codemasters;0.02;67;16;6.7;86;Asobo Studio;E
Oil Rush;PC;2012;Strategy;Iceberg Interactive;0.02;67;23;6.5;55;Unigine Corp, Russia;
Tycoon City: New York;PC;2006;Strategy;Atari;0.02;67;30;8.3;4;Deep Red;T
Still Life 2;PC;2009;Adventure;Rondomedia;0.02;67;15;5.7;54;GameCo;M
East India Company;PC;2009;Strategy;Paradox Interactive;0.02;67;28;5.7;49;Nitro Games;T
The Lord of the Rings: War in the North;PC;2011;Action;Warner Bros. Interactive Entertainment;0.19;66;21;7.1;289;Snowblind Studios;M
Dead Rising 2: Off the Record;PC;2011;Action;Capcom;0.06;66;10;5.3;54;Capcom Vancouver;M
Tom Clancy's HAWX 2;PC;2010;Action;Ubisoft;0.05;66;12;3.8;47;Ubisoft;T
The Bureau: XCOM Declassified;PC;2013;Shooter;Take-Two Interactive;0.05;66;45;6.5;621;2K Marin;M
LEGO Indiana Jones 2: The Adventure Continues;PC;2009;Action;Activision;0.05;66;13;8;19;Traveller's Tales;E10+
Secret Files: Tunguska;PC;2006;Adventure;DreamCatcher Interactive;0.04;66;26;7.4;38;Fusionsphere Systems;T
Virtua Tennis 4;PC;2011;Sports;Sega;0.04;66;5;7.3;43;Sega;E
Patrician IV;PC;2010;Strategy;Kalypso Media;0.04;66;18;6.4;34;Gaming Minds Studios;E
Worms: Ultimate Mayhem;PC;2011;Strategy;Unknown;0.04;66;4;7.8;48;Team 17;E10+
The Settlers: Rise of an Empire;PC;2007;Strategy;Ubisoft;0.02;66;19;7.7;44;Blue Byte;E10+
Ghost Pirates of Vooju Island;PC;2009;Adventure;DTP Entertainment;0.02;66;14;tbd;;Autumn Moon;T
Star Trek Online;PC;2010;Role-Playing;Atari;0.02;66;34;6.2;694;Cryptic Studios;T
Agatha Christie: The ABC Murders;PC;2016;Adventure;Microids;0.02;66;15;8.5;144;Artefacts Studio;
Quantum Break;PC;2016;Action;Microsoft Game Studios;0.02;66;14;4.3;539;Remedy Entertainment;M
DuckTales: Remastered;PC;2013;Action;Capcom;0.02;66;6;7.6;152;WayForward;E
The Last Remnant;PC;2009;Role-Playing;Square Enix;0.01;66;23;8.3;240;Square Enix;M
Theatre Of War;PC;2007;Strategy;Kalypso Media;0.01;66;13;6.2;21;Battlefront.com, 1C, 1C Company;T
Farming Simulator 2013;PC;2012;Simulation;Focus Home Interactive;0.96;65;12;7.5;111;Giants Software;E
Darkspore;PC;2011;Role-Playing;Electronic Arts;0.12;65;52;6;133;Maxis;T
Dungeons;PC;2011;Strategy;Kalypso Media;0.09;65;35;4.6;106;Realmforge Studios;M
Risen 3: Titan Lords;PC;2014;Role-Playing;Deep Silver;0.09;65;49;5.7;822;Piranha Bytes;M
Need For Speed: Undercover;PC;2008;Racing;Electronic Arts;0.08;65;18;4.9;231;EA Black Box;T
Harry Potter and the Sorcerer's Stone;PC;2001;Action;Electronic Arts;0.06;65;11;7.8;76;KnowWonder;E
Remember Me;PC;2013;Action;Capcom;0.06;65;26;7.4;1007;DONTNOD Entertainment;M
Air Conflicts: Secret Wars;PC;2011;Simulation;bitComposer Games;0.03;65;5;6.4;24;Games Farm;T
Blazing Angels: Squadrons of WWII;PC;2006;Simulation;Ubisoft;0.02;65;16;4.6;17;Ubisoft Romania;T
The Incredibles: Rise of the Underminer;PC;2005;Action;THQ;0.02;65;5;tbd;;Heavy Iron Studios;E10+
Turok;PC;2008;Action;Touchstone;0.01;65;16;6.5;55;Propaganda Games;M
War for the Overworld;PC;2015;Strategy;Unknown;0.01;65;14;7.7;90;Subterranean Games;
WRC: FIA World Rally Championship;PC;N/A;Racing;Black Bean Games;0.01;65;7;;;Black Bean Games;RP
Sherlock Holmes: The Devil's Daughter;PC;2016;Adventure;Bigben Interactive;0.01;65;18;7.3;72;Frogwares;T
SimCity (2013);PC;2013;Simulation;Electronic Arts;1.42;64;75;2.2;4572;Maxis;E10+
Farming Simulator 17;PC;2016;Simulation;Focus Home Interactive;0.65;64;5;8;20;Giants Software;E
Defiance;PC;2013;Shooter;Trion Worlds;0.21;64;40;6.5;661;Trion Worlds;M
Secret Files 2: Puritas Cordis;PC;2009;Adventure;Deep Silver;0.04;64;14;7.1;17;Fusionsphere Systems, Animation Arts;T
Pro Cycling Manager 2016;PC;2016;Sports;Focus Home Interactive;0.03;64;6;4.8;5;Cyanide;
Apache: Air Assault;PC;2010;Simulation;Just Flight;0.03;64;7;7.5;18;Gaijin Entertainment;T
SimCity;PC;1988;Simulation;Maxis;0.03;64;75;2.2;4572;Maxis;E10+
Harry Potter and the Half-Blood Prince;PC;2009;Action;Electronic Arts;0.03;64;14;6.1;35;EA Bright Light;E10+
Mafia III;PC;2016;Action;Take-Two Interactive;0.19;63;29;3.2;881;Hangar 13;M
Arcania: Gothic 4;PC;2010;Role-Playing;JoWood Productions;0.19;63;25;4.4;307;Spellbound;T
Gothic 3;PC;2006;Role-Playing;JoWood Productions;0.06;63;39;7.3;519;Piranha Bytes;T
Front Mission Evolved;PC;2010;Shooter;Square Enix;0.05;63;13;5.1;48;Double Helix Games;T
Grand Ages: Medieval;PC;2015;Strategy;Kalypso Media;0.05;63;11;5.4;52;Gaming Minds Studios;T
Harry Potter and the Order of the Phoenix;PC;2007;Action;Electronic Arts;0.04;63;11;7.1;34;EA Games;E10+
Supreme Ruler: Cold War;PC;2011;Strategy;Paradox Interactive;0.03;63;12;6.8;27;BattleGoat Studios;RP
Monsters vs. Aliens;PC;2009;Action;Activision;0.03;63;8;6.2;5;Beenox;E10+
Lost Planet 2;PC;2010;Shooter;Capcom;0.03;63;15;6.3;87;Capcom;T
SimCity Societies;PC;2007;Simulation;Electronic Arts;0.02;63;27;4.3;95;Tilted Mill;E10+
Mata Hari: Betrayal is only a Kiss Away;PC;2008;Adventure;DTP Entertainment;0.02;63;11;;;DTP Entertainment;T
WorldShift;PC;2009;Strategy;Playlogic Game Factory;0.02;63;9;8.1;8;Black Sea Studios;T
James Bond 007: Blood Stone;PC;2010;Shooter;Activision;0.02;63;17;7.1;72;Bizarre Creations;T
Imperium Romanum;PC;2008;Strategy;Kalypso Media;0.02;63;19;7.5;24;Haemimont;E10+
Clive Barker's Jericho;PC;2007;Shooter;Codemasters;0.01;63;25;7.5;218;Mercury Steam, Alchemic Productions;M
15 Days;PC;2009;Adventure;DTP Entertainment;0.01;63;6;5.8;8;DTP Entertainment;
Silent Hunter 5: Battle of the Atlantic;PC;2010;Simulation;Ubisoft;0.25;62;26;3.5;104;Ubisoft Romania;T
Combat Mission: Shock Force;PC;2007;Strategy;Paradox Interactive;0.03;62;15;3.3;86;Big Time Software;T
F1 Race Stars;PC;2012;Racing;Codemasters;0.02;62;8;5.4;46;Codemasters;E
Spider-Man 3;PC;2007;Platform;Activision;0.02;62;16;7.1;29;Beenox;T
NHL 09;PC;2008;Sports;Electronic Arts;0.02;62;6;4.1;30;EA Canada;E10+
Contrast;PC;2013;Platform;Focus Home Interactive;0.01;62;24;7.7;169;Compulsion Games;T
Ship Simulator 2008;PC;2007;Simulation;Lighthouse Interactive;0.01;62;9;6.6;8;VSTEP;E
F1 2014;PC;2014;Racing;Codemasters;0.1;61;20;4.8;65;Codemasters Birmingham;E
Emergency 2012;PC;2010;Simulation;Deep Silver;0.07;61;9;6.2;12;ValuSoft;T
Dead Island: Riptide;PC;N/A;Action;Deep Silver;0.07;61;35;6;441;Techland;M
Cities XL 2012;PC;2011;Strategy;Focus Home Interactive;0.07;61;18;5.6;95;Monte Cristo Multimedia;E
F1 2015;PC;2015;Racing;Codemasters;0.05;61;13;3.6;63;Codemasters;E
Hunted: The Demon's Forge;PC;2011;Action;Bethesda Softworks;0.05;61;21;6.6;127;InXile Entertainment;M
Venetica;PC;2009;Role-Playing;DTP Entertainment;0.05;61;17;6.8;51;Deck 13;T
Lost Planet 3;PC;2013;Shooter;Capcom;0.04;61;17;6.2;210;Spark Unlimited;T
F.E.A.R. Perseus Mandate;PC;2007;Shooter;Vivendi Games;0.01;61;27;7.3;106;TimeGate Studios;M
Juiced 2: Hot Import Nights;PC;2007;Racing;THQ;0.01;61;6;5;42;Juice Games;T
Breach;PC;2011;Shooter;Destineer;0.01;61;12;5.8;43;Atomic Games;T
IL-2 Sturmovik: Cliffs of Dover;PC;2011;Simulation;Ubisoft;0.05;60;13;7.1;114;1C: Maddox Games;T
Off-Road Drive;PC;2011;Racing;1C Company;0.04;60;10;6.4;17;Avalon Style;
STORM: Frontline Nation;PC;2011;Strategy;Unknown;0.01;60;12;7.2;13;SimBin;E10+
Murdered: Soul Suspect;PC;2014;Action;Square Enix;0.05;59;22;7.4;379;Airtight Games;M
Alter Ego;PC;1985;Simulation;Activision;0.03;59;9;5.8;19;Viva Media, Viva Media, LLC;T
Star Wars: The Force Unleashed II;PC;2010;Action;LucasArts;0.03;59;14;5.8;162;LucasArts;T
Doom 3 BFG Edition;PC;2012;Shooter;Bethesda Softworks;0.03;59;12;5.3;210;id Software;M
Maximum Capacity: Hotel Giant;PC;2002;Strategy;JoWood Productions;0.02;59;11;7.7;9;JoWooD Entertainment AG;T
Inversion;PC;N/A;Shooter;Namco Bandai Games;0.01;59;6;6.7;107;Saber Interactive;M
Game of Thrones;PC;2012;Role-Playing;Focus Home Interactive;0.08;58;23;6.5;345;Cyanide, Cyanide Studios;M
Clockwork Empires;PC;N/A;Strategy;Unknown;0.04;58;7;3.8;5;Gaslamp Games;RP
Castlevania: Lords of Shadow 2;PC;2014;Action;Konami Digital Entertainment;0.04;58;16;7.7;498;Mercury Steam;M
Hotel Giant 2;PC;2008;Strategy;JoWood Productions;0.03;58;7;2.5;19;Enlight Software;E
Wall-E;PC;2008;Platform;THQ;0.02;58;6;6.8;17;Heavy Iron Studios;E
Rayman Raving Rabbids;PC;2006;Misc;Ubisoft;0.01;58;6;7.6;31;Ubisoft Bulgaria;E
Conflict: Denied Ops;PC;2008;Shooter;Eidos Interactive;0.01;58;18;4.8;54;Pivotal Games;M
Madagascar: Escape 2 Africa;PC;2008;Action;Activision;0.01;58;6;8;4;Aspyr;E10+
The First Templar;PC;2011;Action;Kalypso Media;0.08;57;19;5.8;60;Haemimont;T
TRON: Evolution;PC;2010;Action;Disney Interactive Studios;0.07;57;11;6;25;Propaganda Games;T
Airline Tycoon 2;PC;2011;Simulation;Kalypso Media;0.05;57;4;5.5;30;Kalypso;E
The Lord of the Rings: Conquest;PC;2009;Action;Electronic Arts;0.02;57;24;6.7;42;Pandemic Studios;T
Legend: Hand of God;PC;2007;Role-Playing;DTP Entertainment;0.02;57;9;5.8;19;Master Creating;M
Sacred 3;PC;2014;Role-Playing;Deep Silver;0.02;57;47;1.4;544;Deep Silver;M
Dark Void;PC;2010;Action;Capcom;0.02;57;22;5.1;67;Airtight Games;T
Stronghold Legends;PC;2006;Strategy;Take-Two Interactive;0.02;57;19;7.2;44;FireFly Studios;T
Spider-Man: Friend or Foe;PC;2007;Action;Activision;0.01;57;9;5.3;11;Beenox;E10+
APB Reloaded;PC;2011;Role-Playing;Iceberg Interactive;0.04;56;12;5.7;269;Reloaded Productions, Reloaded Games Inc.;M
Disciples III: Renaissance;PC;2010;Strategy;Kalypso Media;0.02;56;36;5.4;105;Akella;T
Star Trek: Legacy;PC;2006;Simulation;Ubisoft;0.02;56;25;4;35;Mad Doc Software;E10+
The Technomancer;PC;2016;Role-Playing;Focus Home Interactive;0.01;56;34;6.8;149;Spidersoft, Spiders;M
Medal of Honor: Warfighter;PC;2012;Action;Electronic Arts;0.33;55;30;5.4;599;Danger Close;M
Sniper: Ghost Warrior;PC;2010;Shooter;City Interactive;0.16;55;23;5.5;267;City Interactive;M
The Cursed Crusade;PC;2011;Action;DTP Entertainment;0.03;55;7;6;33;Kylotonn;M
SAW;PC;2009;Action;Konami Digital Entertainment;0.02;55;6;6;31;Zombie Studios;M
Alone in the Dark;PC;2008;Adventure;Atari;0.01;55;19;5.7;148;Eden Studios;M
Duke Nukem Forever;PC;2011;Shooter;Take-Two Interactive;0.41;54;48;5.7;1183;Gearbox Software, 3D Realms;M
Create;PC;2010;Action;Electronic Arts;0.06;54;7;6.8;9;EA Bright Light;E
Homefront: The Revolution;PC;2016;Shooter;Deep Silver;0.04;54;48;3.5;284;Deep Silver Dambuster Studios;M
Captain Morgane and the Golden Turtle;PC;2012;Adventure;Reef Entertainment;0.03;54;6;6.2;11;Wizarbox;
Gobliiins 4;PC;2009;Adventure;Kalypso Media;0.01;54;13;;;Societe Pollene;
A Game of Thrones: Genesis;PC;2011;Strategy;Focus Home Interactive;0.03;53;40;4;110;Cyanide;
Sniper: Ghost Warrior 2;PC;2013;Shooter;City Interactive;0.08;52;24;5.8;320;City Interactive;M
Spider-Man: Web of Shadows;PC;2008;Action;Activision;0.02;52;11;7.8;57;Treyarch, Shaba Games;T
Lost: Via Domus;PC;2008;Action;Ubisoft;0.02;52;22;6;38;Ubisoft Montreal;T
Call of Juarez: The Cartel;PC;2011;Shooter;Ubisoft;0.11;51;12;3.3;126;Ubisoft;M
The Haunted: Hell's Reach;PC;2011;Shooter;Visco;0.02;51;8;7.6;47;ValuSoft;M
Hospital Tycoon;PC;2007;Strategy;Codemasters;0.01;51;8;3.8;29;Big Red Software;E10+
Empire Earth III;PC;2007;Strategy;Vivendi Games;0.04;50;40;2.8;53;Mad Doc Software;T
Trapped Dead;PC;2011;Strategy;Iceberg Interactive;0.02;50;14;4.7;57;Headup Games, Crenetic Studios;
Legendary;PC;2008;Shooter;Atari;0.02;50;23;6.6;104;Spark Unlimited;M
Ship Simulator Extremes;PC;2010;Simulation;Paradox Interactive;0.05;49;5;6.2;27;VSTEP;E
Resident Evil: Operation Raccoon City;PC;2012;Action;Capcom;0.04;48;8;3.8;188;Slant Six;M
JASF: Jane's Advanced Strike Fighters;PC;2011;Simulation;Deep Silver;0.04;48;4;3.1;14;Trickstar Games;T
Stronghold 3;PC;2011;Strategy;N/A;0.16;47;29;3;350;FireFly Studios;T
CSI: Fatal Conspiracy;PC;2010;Adventure;Ubisoft;0.04;47;5;5.5;6;Telltale Games;M
Bus Simulator 16;PC;2016;Simulation;Astragon;0.03;46;8;6.1;18;Still Alive Studios;
Star Wars The Clone Wars: Republic Heroes;PC;2009;Action;LucasArts;0.03;46;9;4.7;46;LucasArts, Krome Studios;T
Starship Troopers;PC;2005;Shooter;Empire Interactive;0.02;46;18;6.1;29;Strangelite;M
Aliens: Colonial Marines;PC;2013;Shooter;Sega;0.18;45;40;3.5;1156;Gearbox Software;M
Stronghold Crusader Extreme;PC;2008;Strategy;Gamecock;0.02;45;11;6.8;45;FireFly Studios;T
Harry Potter and the Deathly Hallows - Part 2;PC;2011;Action;Electronic Arts;0.1;43;12;5;56;;
RollerCoaster Tycoon World;PC;2016;Simulation;Atari;0.02;43;7;2.4;31;Nvizzio Creations;E
Stormrise;PC;2009;Strategy;Sega;0.02;42;15;4.9;22;Creative Assembly;M
Raven Squad: Operation Hidden Dagger;PC;2009;Shooter;Evolved Games;0.02;39;11;3.1;61;Atomic Motion;T
Harry Potter and the Deathly Hallows - Part 1;PC;2010;Action;Electronic Arts;0.1;37;5;4.1;33;EA Bright Light;T
Sniper: Art of Victory;PC;2008;Shooter;City Interactive;0.49;36;7;3.6;16;City Interactive;M
Grey's Anatomy: The Video Game;PC;2009;Adventure;Ubisoft;0.02;36;4;3.9;20;Longtail Studios;T
X Rebirth;PC;2013;Simulation;Koch Media;0.08;33;24;3.3;1340;Egosoft;T
